Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Sprint,Custom field (Story Points),Custom field (Story point estimate),Time Spent,Status,Due date,Parent,Parent key,Parent summary
Task,TTCN-565,13654,[BE] Web app CSXC - Thông tin xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-564,13653,[BE] Web app CSXC - Điều kiện sang tải,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,2.0,,10800,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-563,13652,[BE] Web app CSXC - Lấy thông tin điều kiện sang tải,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-562,13651,[BE] Web app CSXC - Hành trình xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-561,13650,[BE] Web app CSXC - Chi tiết dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-560,13649,[BE] Web app CSXC - Lọc dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-559,13648,[BE] Web app CSXC - Danh sách dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-552,13641,[BE] Web app CSXC - Ghi log lịch sử,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-551,13640,[BE] Web app CSXC - Cập nhật hành trình xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-550,13639,[BE] Web app CSXC - Tiếp nhận kế hoạch,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,1.0,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-549,13638,[BE] Web app CSXC - Chi tiết kế hoạch,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-548,13637,[BE] Web app CSXC - Lọc kế hoạch,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-547,13636,[BE] Web app CSXC - Danh sách kế hoạch,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-538,13595,[BE] Web app CSKH - Quản ly thông tin xuất hoá đơn,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,2.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-535,13592,[BE] Web app CSKH - Api cập nhật hành trình xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-534,13591,[BE] Web app CSKH - Lọc hành trình xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-533,13590,[BE] Web app CSKH - Api danh sách hành trình xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,2.0,1.0,10800,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-526,13583,[BE] Web app CSKH - Api huỷ dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-525,13582,[BE] Web app CSKH - Api chỉnh sửa chi tiết dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-523,13580,[BE] Web app CSKH - Api cập nhật thủ tục,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-521,13578,[BE] Web app CSKH - Lọc dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,3.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-520,13577,[BE] Web app CSKH - Api statistic dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,3.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-519,13576,[BE] Web app CSKH - Api chi tiết dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,2.0,2.0,10800,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-518,13575,[BE] Web app CSKH - Api danh sách dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,2.0,2.0,10800,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-476,13501,[BE] Web app CSKH - Api cập nhật hành trình,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,5.0,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-475,13500,[BE] API Danh sách hành trình,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,,3.0,3.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-474,13499,[BE] Web app CSKH - Quản lý hành trình,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,8.0,8.0,72000,Ready for Test,29/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
